Date,Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Flood Label
30-06-02,6,159.1,31.386667,23.426667,82.383333,26.842667,0
31-07-02,4.72043,3.4,32.680645,24.109677,77.443548,27.841935,0
31-08-02,5.139785,35.4,33.996774,24.103226,75.798387,28.152903,0
30-09-02,5.755556,60.1,34.81,24.446667,72.083333,28.847333,0
31-10-02,5.806452,216.1,33.170968,24.219355,76.983871,27.999355,0
30-11-02,6.155556,81.2,32.95,24.223333,80.65,27.686667,0
31-12-02,7.83871,311.2,30.970968,24.206452,85.266129,26.872903,1
31-01-03,6.182796,105.8,32.006452,24.687097,81.020833,27.747742,0
28-02-03,7.309524,340.9,31.496429,24.203571,83.303571,27.058571,1
31-03-03,7.602151,209.2,31.196774,23.829032,85.943548,26.740645,0
30-04-03,7.255556,390.1,31.04,23.643333,87.416667,26.619333,1
31-05-03,7.344086,219.6,31.47,23.574194,85.443548,26.760645,0
30-06-03,6.322222,110.7,32.283333,23.67,84.658333,27,0
31-07-03,4.505376,93,32.774194,23.470968,81.467742,27.345806,0
31-08-03,5.752688,118.3,33.112903,23.406452,81.967742,27.430323,0
30-09-03,6.211111,60.9,33.896667,23.746667,83.716667,27.856,0
31-10-03,6.709677,96.9,34.222581,24.745161,78.846774,28.692903,0
30-11-03,6.633333,119.6,33.536667,24.2,81.025,28.058,0
31-12-03,6.548387,89.9,33.506667,24.219355,83.362903,27.943871,0
31-01-04,7.497312,179.6,32.122581,24.170968,88.548387,27.24,1
29-02-04,8.229885,150.6,31.393103,23.662069,88.586207,26.630345,0
31-03-04,8.44086,424.2,30.954839,23.458065,90.370968,26.387097,1
30-04-04,8.133333,227.2,31.836667,23.59,89.408333,26.836667,1
31-05-04,7.365591,422.9,31.158065,23.641935,89.677419,26.744516,1
30-06-04,6.311111,120.2,31.72,23.113333,87.05,26.668667,0
31-07-04,6.287634,59.6,32.609677,23.151613,85.693548,26.954194,0
31-08-04,4.903226,141.3,33.212903,23.303226,81.201613,27.495484,0
30-09-04,6.4,112,33.47,23.616667,82.175,27.455333,1
31-10-04,6.602151,66,33.629032,24.125806,81.701613,28.029032,0
30-11-04,7.2,13.3,34.69,24.683333,77.325,28.793333,0
31-12-04,7.408602,140,32.829032,23.580645,82.935484,27.347742,0
31-01-05,7.021505,165.7,33.196774,23.974194,82.983871,27.643226,0
28-02-05,8.571429,331.5,31.657143,23.821429,87.571429,26.743571,1
31-03-05,8.666667,334,31.196774,23.709677,89.016129,26.532903,0
30-04-05,7.755556,404.8,31.473333,23.836667,87.75,26.890667,1
31-05-05,6.956989,225.5,32.248387,24.032258,84.701613,27.291613,0
30-06-05,5.033708,53.5,33.003333,23.973333,82.541667,27.806,0
31-07-05,5.16129,52.4,32.945161,23.506452,83.096774,27.446452,0
31-08-05,6.021505,16.2,34.883871,24,82.741935,28.516774,0
30-09-05,6.7,45.9,34.986667,24.07,84.333333,28.615333,0
31-10-05,6.827957,75.2,35.203226,24.548387,83,28.842581,0
30-11-05,7.433333,211.6,33.746667,23.873333,86.583333,27.754667,0
31-12-05,8.021739,291.8,31.441935,23.432258,89.282258,26.445333,0
31-01-06,7.55914,173.3,32.335484,23.545161,89.080645,26.719355,1
28-02-06,7.892857,346.4,31.085714,23.439286,90.276786,26.456429,0
